ID,Sector,LastPage,SmokedIn30Days,Extraverted,Critical,Dependable,Anxious,OpenExp,Reserved,Sympathetic,Disorganized,Calm,Conventional,DifficultRefrain,CigsPerDay,SmokeMoreEarly,SmokeWhileIll,TimeToFirstCig,HateToGiveUp,FirstCigAge,SmokingChangePostCrisis,AffordFavoriteBrand,SwitchedBrandPostCrisis,Gender,Age,Governorate,EducationLevel,CurrentEmploymentStatus,MaritalStatus,CloseFriends,NumSmokerFriends,MainIncomeSource,HouseholdIncomeType,MonthlyIncome,IncomeSufficiency,HouseholdSize,FinancialImpact,ExerciseFreq,SocialMediaHours,StressFreq,EmploymentStatusGeneral
249,0,5,0,4,0,2,1,1,2,0,5,1,5,0,0,0,0,0,0,18,2,1,2,0,24,0,4,3,3,1,2,4,2,5,2,1,3,2,3,0,0
250,0,5,0,1,1,1,5,2,4,0,3,1,4,0,1,1,1,1,1,17,2,1,0,1,24,0,0,1,3,1,5,1,2,1,3,7,4,3,1,3,0
251,0,5,0,2,0,2,5,1,3,1,4,0,5,0,0,0,0,2,1,21,2,1,0,1,23,0,0,1,3,1,2,1,2,2,3,6,0,3,2,4,0
253,0,5,0,2,5,1,4,1,5,3,1,5,1,1,0,1,1,1,1,10,1,0,2,1,19,0,4,2,3,1,2,4,0,4,3,5,3,3,4,4,1
254,0,5,0,0,0,1,0,6,0,6,4,0,5,1,2,0,1,1,1,16,2,1,0,1,27,2,0,1,0,1,5,1,2,6,1,2,3,2,0,1,0
256,0,5,0,2,0,0,1,0,5,2,5,0,5,0,0,1,0,2,0,15,1,1,0,0,25,0,0,1,3,1,5,1,0,7,3,4,1,2,4,0,0
257,0,5,0,1,5,1,0,1,4,1,4,4,5,1,1,1,1,3,1,14,2,0,2,1,20,2,2,1,3,1,5,0,0,0,2,3,0,0,2,1,1
259,0,5,0,2,0,1,3,1,5,2,4,2,5,0,0,0,0,1,0,17,0,1,2,1,24,0,1,3,3,1,4,1,3,5,1,3,4,0,4,1,0
262,0,5,0,5,1,2,1,4,2,3,3,4,4,0,0,1,0,1,0,15,1,1,0,0,19,0,3,2,3,1,0,4,0,5,3,3,4,3,4,0,1
269,0,5,0,6,0,4,4,1,6,6,4,3,3,0,0,0,0,2,0,17,0,1,0,1,24,0,3,2,3,1,1,4,2,7,1,1,1,3,1,1,1
270,0,5,0,2,1,3,1,1,4,1,0,3,3,1,2,1,1,3,1,14,1,1,2,1,18,0,3,2,3,1,3,4,1,3,2,3,1,0,1,1,1
271,0,5,0,3,1,1,1,2,1,1,2,0,4,0,1,0,1,1,0,14,2,1,0,1,18,0,2,2,3,0,3,4,3,7,3,4,1,1,2,1,1
273,0,5,0,6,3,0,1,0,0,1,0,0,3,0,1,0,0,2,0,17,2,0,2,1,22,0,0,1,2,1,3,4,2,4,2,3,1,3,2,3,1
277,0,5,0,1,2,2,1,0,2,1,2,0,0,0,0,0,0,2,0,24,1,1,0,0,24,0,1,1,3,1,2,1,2,3,2,4,0,1,0,0,0
279,0,5,0,2,5,0,3,2,0,1,4,2,3,1,1,0,0,1,0,18,1,1,0,1,19,0,3,3,3,1,3,4,0,0,2,2,4,2,1,3,0
